"Url","Date","Title","Description","Location","Full_Date","Time","Human_Dates"
"https://events.reed.edu/event/recycling-center-101","Wednesday, October 9, 2024 11am to 1pm","Recycling Center 101","
    Curious or confused about recycling in Portland? Stop by the Sustainability table to learn about the Recycling Center and general recycling guidelines on campus.

  ","Gray Campus Center, Patio",2024-10-09,"11am to 1pm","Wednesday, October 09, 2024"
"https://events.reed.edu/event/care-station-postcard-makingcoloring","Wednesday, October 9, 2024 3pm to 4pm","Care Station: Postcard making/coloring","
    Come de-stress and enjoy making some cards with the Reed College Care Team during this Care event.

  ","Gray Campus Center, GCC Patio Tabling",2024-10-09,"3pm to 4pm","Wednesday, October 09, 2024"
"https://events.reed.edu/event/physics-seminar-rory-donovan-maiye","Wednesday, October 9, 2024 4:30pm to 5:30pm","Physics Seminar: Rory Donovan-Maiye","
    A Multi-Scale All-Atom Molecular Language Model for Predicting Biophysical Properties of Complex Molecules

In silico prediction of complex/emergent biophysical properties from molecular structure / sequence is a long standing goal of computational physics/chemistry/biology. Following the success of protein and small molecule language models, we eschew explicit physics-based calculations (e.g. molecular dynamics) and train high capacity language models to learn molecular representations that are directly predictive of properties of interest. We introduce a novel multi-scale encoding that allows us to represent all molecular entities, from small molecules to large proteins, at a tunable hybrid all-atom / coarse-grained level. This opens the door to modeling modified peptides and proteins, RNA, lipids, etc. in the same framework, maximizing data efficiency and generality, and tunability of of our models. An introduction to machine learning / LLMs in the context of biophysics is presents, and novel contributions are introduced, and preliminary results are discussed. Areas of interest / intersection include physics, machine learning, computer science, biology, and chemistry.

  ",NA,2024-10-09,"4:30pm to 5:30pm","Wednesday, October 09, 2024"
"https://events.reed.edu/event/environmental_studies_fall_gathering_2024","Wednesday, October 9, 2024 5pm","Environmental Studies Fall Gathering","
    Join with other Environmental studies faculty, majors and es-curious students in our annual fall gathering. Our summer 2024 Environmental Studies Summer Experience Fellows will share about their summer projects. Dinner will be provided.

  ","Biology, Biology 19",2024-10-09,"5pm","Wednesday, October 09, 2024"
"https://events.reed.edu/event/spooky-team-trivia-night-at-the-parc","Wednesday, October 9, 2024 5pm to 7pm","Spooky Team Trivia Night at the PARC!","
    Gather your ghouls for a night of tricks and treats (and pizza!) at Spooky Team Trivia! Teams can be 2-6 members and can consist of students, staff and faculty. No team? No problem! You can create a team or join one before the games begin. There will be drinks and pizza and a really good time.

 

 

  ","PARC, PARC",2024-10-09,"5pm to 7pm","Wednesday, October 09, 2024"
"https://events.reed.edu/event/book-talk-reds-the-tragedy-of-american-communism-by-maurice-isserman-72","Wednesday, October 9, 2024 7pm","Book talk: ""Reds: The Tragedy of American Communism"" by Maurice Isserman ‘72","
    When: Wednesday, October 9, 7 p.m.
Where: Harvard Book Store
1256 Massachusetts Ave, Cambridge, MA 02138
Book Talk with Maurice Isserman ’72
Reds: The Tragedy of American Communism
Maurice Isserman ’72, will discuss his most recent book, Reds: The Tragedy of American Communism. Copies will be available for purchase.

  ","Harvard Book Store",2024-10-09,"7pm","Wednesday, October 09, 2024"
"https://events.reed.edu/event/care-station-smores","Thursday, October 10, 2024 1:30pm to 2:30pm","Care Station: S'mores","
    Come de-stress and enjoy making some S'mores with the Reed College Care Team during this Care event.

  ","Gray Campus Center, GCC Patio Tabling",2024-10-10,"1:30pm to 2:30pm","Thursday, October 10, 2024"
"https://events.reed.edu/event/copy-of-math-statistics-colloquium-isabelle-shankar-portland-state-univ","Thursday, October 10, 2024 3:30pm to 4:30pm","Math & Statistics Colloquium: Maxine Calle '20, UPenn","
    The Edge Reconstruction Conjecture and Combinatorial K-theory -
Given a finite graph, imagine all the ways you can obtain a subgraph by deleting a single edge. Can you uniquely reconstruct your original graph from just this collection of subgraphs? This question is known as the Edge Reconstruction Conjecture and is a famous open problem in graph theory. In this talk, we will discuss how to rephrase this reconstruction problem more algebraically, using the framework of combinatorial K-theory. This talk is based on joint work with J. J. Gould.

  ","Eliot 314",2024-10-10,"3:30pm to 4:30pm","Thursday, October 10, 2024"
"https://events.reed.edu/event/chemistry-seminar-dan-gerrity-phd","Thursday, October 10, 2024 4:30pm to 5:15pm","Chemistry Seminar: Daniel Gerrity, Ph.D. ""Resonance Raman Excitation Profile of Cr(CO)6 in the Region of the Lowest Energy UV Absorption Band: Support for Assignment to a Ligand Field Transition""","
     Dan Gerrity attended Cornell College where he received a B.A. in Chemistry in 1977. From there he went to Harvard University where he earned a PhD in Physical Chemistry in 1982, working in Professor Veronica Vaida’s group. His research focused on the use of short-pulsed lasers to study the electronic structure and reactivity of small molecules. He then did a short (six month) postdoc at the University of Oregon, working with Professor Bruce Hudson, while he waited to get the necessary security clearance required to begin a Director’s Funded Postdoctoral Fellowship at Los Alamos National Lab. At Oregon, he used UV resonance Raman spectroscopy to study the exited electronic states of several small molecules, which included providing experimental evidence for the location and symmetry of the lowest energy forbidden excited state of butadiene. At Los Alamos, he worked with Dr. James Valentini to experimentally measure the product state distribution of one of the simplest bimolecular reactions, H + D2  ➡️  D + HD. These product state distributions provide the best test of quantum calculations of chemical reactions. He also studied the photodissociation of ozone, providing direct evidence for a mass-independent kinetic isotope effect. Dan has been teaching and doing research with undergraduates since 1984, first at Carroll College in Waukesha Wisconsin, and then at Reed College in Portland Oregon. He caught the teaching bug while in high school, when he was allowed to design  [...]","Biology, 19",2024-10-10,"4:30pm to 5:15pm","Thursday, October 10, 2024"
"https://events.reed.edu/event/cracking-zues","Thursday, October 10, 2024 5:30pm","Cracking Zeus","
    Come join us for Cracking Zeus! A new play directed by our own Elizabeth Dinkova '13:
Greek mythology, the Black church, and the crack epidemic collide in the imaginative world premiere production of ""Cracking Zeus"" at Spooky Action Theater, run by Elizabeth Dinkova (Reed '13). Hera, a goddess with a grudge to settle, has found her husband Zeus’ newest illegitimate child. On the outside, Baniaha is a pillar of his community: he helps his mother run her church while mentoring orphaned youth. On the inside, he is lost: the mystery of his paternity leaves him yearning for answers. When Hera arrives to exact her revenge with the help of Rufus, a houseless crack addict she thinks she can exploit, relationships are strained and faith is put to the test. This wildly inventive dark comedy is a present-day myth about religion, dependency, and redemption.
We'll meet at 5:30 for a happy hour at Logan Tavern (1423 P Street NW), and then walk over to Spooky Action (1810 16th Street NW) for the 7:30 curtain. The performance lasts 95 min.

The Spooky Action Theater has kindly extended a nearly 50% discount for Reed alumni! Use code Reed20 at checkout. Get your tickets today.

  ","Logan Tavern and Spooky Action Theater",2024-10-10,"5:30pm","Thursday, October 10, 2024"
