"Url","Date","Title","Description","Location","Full_Date","Time","Human_Dates"
"https://events.reed.edu/event/biology_seminar_dr_juniper_harrower","Friday, September 8, 2023 12pm to 1pm","Biology Seminar: Dr. Juniper Harrower","
    Ecologies of Care through an Environmental Art Practice

We have entered the 6th major extinction event on our planet largely due to the extractive and colonial activities of humans. To reroute this current trajectory requires interdisciplinary approaches for our many entangled species and their diverse life worlds. By joining aesthetics to an environmental practice, I propose alternative visions of the environmental crisis and create opportunities that decenter human exceptionalism in favor of multispecies kinship. I ask, how might we better consider the forms that species interactions take and begin to understand those diverse and unfolding stories through an ecological art practice? I work with community members (both human and non), and interdisciplinary researchers to develop long-term research projects and integrated narratives that take form as written text, paintings, alternative maps, printmaking, installations, animations, community organizing and direct action. 

Specializing in multispecies entanglements under climate change, Juniper Harrower works at the intersection of ecology and art. Through a multimedia art and science research practice she considers the ways that humans influence ecosystems while seeking solutions that protect at-risk species and promote environmental justice.

11:50 am- Snacks & Socializing
noon- Talk Begins

  ","Biology, Biology 19",2023-09-08,"12pm to 1pm","Friday, September 08, 2023"
"https://events.reed.edu/event/exhibition_jesse_murry_rising","Friday, September 8, 2023 12pm to 5pm","Exhibition: Jesse Murry: Rising","
    Douglas F. Cooley Memorial Art Gallery, Reed College, in partnership with Converge 45: Social Forms: Art as Global Citizenship.Nestled in the Reed library, always free and open to the public.The Douglas F. Cooley Memorial Art Gallery, Reed College and Converge 45 are proud to present Jesse Murry: Rising—the first west coast showing of the poetic landscapes of American painter, poet, and art critic Jesse Murry (1948–1993). 

The exhibition is curated by renowned American painter Lisa Yuskavage, and 2022 Kennedy Scholar Jarrett Earnest, and is part of Social Forms: Art as Global Citizenship—Converge curator Christian Viveros-Faune’s city-wide initiative. The exhibition is organized for the Cooley by curator Stephanie Snyder and Converge artistic director Derek Franklin.

Jesse Murry: Rising presents a group of the artist’s oil paintings created between 1988 and 1993, the last five years of Murry’s life, when he was confronted with the reality of his impending mortality from AIDS-related illness. The works testify to Murry’s lifelong belief in the capacity of painting to hold the complexity of human meaning—at the meeting of a material fact and a location within the mind.

At the heart of Rising, dwells the intimate and devoted friendship between Jesse Murry and Lisa Yuskavage. The two painters met at the beginning of their tenure at the Yale School of Art, where they received their MFAs in 1986. In the midst of Yale’s notoriously difficult environment, they developed an ar [...]","Cooley Art Gallery",2023-09-08,"12pm to 5pm","Friday, September 08, 2023"
"https://events.reed.edu/event/trivia_night_6227","Friday, September 8, 2023 7pm to 9pm","Trivia Night!","
    Join the Student Engagement Program Board for a fun night of trivia! Bring your friends and compete as a team against your fellow Reedies. Prizes will be awarded to 1st, 2nd, and 3rd place winners. Free snacks + drinks too! No sign-up needed.

  ","Student Union",2023-09-08,"7pm to 9pm","Friday, September 08, 2023"
"https://events.reed.edu/event/exhibition_jesse_murry_rising","Saturday, September 9, 2023 12pm to 5pm","Exhibition: Jesse Murry: Rising","
    Douglas F. Cooley Memorial Art Gallery, Reed College, in partnership with Converge 45: Social Forms: Art as Global Citizenship.Nestled in the Reed library, always free and open to the public.The Douglas F. Cooley Memorial Art Gallery, Reed College and Converge 45 are proud to present Jesse Murry: Rising—the first west coast showing of the poetic landscapes of American painter, poet, and art critic Jesse Murry (1948–1993). 

The exhibition is curated by renowned American painter Lisa Yuskavage, and 2022 Kennedy Scholar Jarrett Earnest, and is part of Social Forms: Art as Global Citizenship—Converge curator Christian Viveros-Faune’s city-wide initiative. The exhibition is organized for the Cooley by curator Stephanie Snyder and Converge artistic director Derek Franklin.

Jesse Murry: Rising presents a group of the artist’s oil paintings created between 1988 and 1993, the last five years of Murry’s life, when he was confronted with the reality of his impending mortality from AIDS-related illness. The works testify to Murry’s lifelong belief in the capacity of painting to hold the complexity of human meaning—at the meeting of a material fact and a location within the mind.

At the heart of Rising, dwells the intimate and devoted friendship between Jesse Murry and Lisa Yuskavage. The two painters met at the beginning of their tenure at the Yale School of Art, where they received their MFAs in 1986. In the midst of Yale’s notoriously difficult environment, they developed an ar [...]","Cooley Art Gallery",2023-09-09,"12pm to 5pm","Saturday, September 09, 2023"
"https://events.reed.edu/event/gray_fund_outdoors_surfing_on_the_oregon_coast","Saturday, September 9, 2023 8:30am to 4:30pm","Gray Fund Outdoors: Surfing on the Oregon Coast","
    Hop in a Reed van and get ready to shred the gnar on the Oregon coast for the day with 9 other Reedies and the Cannon Beach surf crew! Even if you've never set foot on a surfboard, no worries, instruction will be provided, as well as all the gear you'll need. The day will start early at 8:30am, with some breakfast snacks in the van. Once you arrive at the surf shop (~1.5 hr drive), the instructors will take over and you'll become a pro in no time! Take a break on the beach with a packed lunch and snacks provided by Gray Fund. Sign-up if you're in for a fun time! 

Lottery Link: https://forms.gle/Hcjf9nV71Y9KoAPb6 (closes on Tuesday 9/5 at 12PM)

  ","Cannon Beach",2023-09-09,"8:30am to 4:30pm","Saturday, September 09, 2023"
"https://events.reed.edu/event/exhibition_jesse_murry_rising","Sunday, September 10, 2023 12pm to 5pm","Exhibition: Jesse Murry: Rising","
    Douglas F. Cooley Memorial Art Gallery, Reed College, in partnership with Converge 45: Social Forms: Art as Global Citizenship.Nestled in the Reed library, always free and open to the public.The Douglas F. Cooley Memorial Art Gallery, Reed College and Converge 45 are proud to present Jesse Murry: Rising—the first west coast showing of the poetic landscapes of American painter, poet, and art critic Jesse Murry (1948–1993). 

The exhibition is curated by renowned American painter Lisa Yuskavage, and 2022 Kennedy Scholar Jarrett Earnest, and is part of Social Forms: Art as Global Citizenship—Converge curator Christian Viveros-Faune’s city-wide initiative. The exhibition is organized for the Cooley by curator Stephanie Snyder and Converge artistic director Derek Franklin.

Jesse Murry: Rising presents a group of the artist’s oil paintings created between 1988 and 1993, the last five years of Murry’s life, when he was confronted with the reality of his impending mortality from AIDS-related illness. The works testify to Murry’s lifelong belief in the capacity of painting to hold the complexity of human meaning—at the meeting of a material fact and a location within the mind.

At the heart of Rising, dwells the intimate and devoted friendship between Jesse Murry and Lisa Yuskavage. The two painters met at the beginning of their tenure at the Yale School of Art, where they received their MFAs in 1986. In the midst of Yale’s notoriously difficult environment, they developed an ar [...]","Cooley Art Gallery",2023-09-10,"12pm to 5pm","Sunday, September 10, 2023"
"https://events.reed.edu/event/peer_career_drop-in_advising","Sunday, September 10, 2023 6pm to 8pm","Peer Career Drop-in Advising","
    Do you have questions about job searching, fellowships, or career development? Do you need feedback on a resume, cover letter, or LinkedIn page? Join our Peer Career Advisors (PCA), a group of current Reedies who are experts in supporting you with your career exploration, for drop-in advising. No need to make an appointment; stop by Aspen Multi-Purpose room to chat with a PCA between Sunday and Thursday from 6-8pm.

  ","Aspen Multipurpose Room",2023-09-10,"6pm to 8pm","Sunday, September 10, 2023"
"https://events.reed.edu/event/peer_career_drop-in_advising","Monday, September 11, 2023 6pm to 8pm","Peer Career Drop-in Advising","
    Do you have questions about job searching, fellowships, or career development? Do you need feedback on a resume, cover letter, or LinkedIn page? Join our Peer Career Advisors (PCA), a group of current Reedies who are experts in supporting you with your career exploration, for drop-in advising. No need to make an appointment; stop by Aspen Multi-Purpose room to chat with a PCA between Sunday and Thursday from 6-8pm.

  ","Aspen Multipurpose Room",2023-09-11,"6pm to 8pm","Monday, September 11, 2023"
"https://events.reed.edu/event/peer_career_drop-in_advising","Tuesday, September 12, 2023 6pm to 8pm","Peer Career Drop-in Advising","
    Do you have questions about job searching, fellowships, or career development? Do you need feedback on a resume, cover letter, or LinkedIn page? Join our Peer Career Advisors (PCA), a group of current Reedies who are experts in supporting you with your career exploration, for drop-in advising. No need to make an appointment; stop by Aspen Multi-Purpose room to chat with a PCA between Sunday and Thursday from 6-8pm.

  ","Aspen Multipurpose Room",2023-09-12,"6pm to 8pm","Tuesday, September 12, 2023"
"https://events.reed.edu/event/the_government-guided_market_economy_is_china_creating_a_new_economic_model","Tuesday, September 12, 2023 7pm","The Government-Guided Market Economy: Is China Creating a New Economic Model?","
    The first lecture in the series Rising China: Past Reforms, Current Challenges, and New Directions
Presented by Barry Naughton, So Kwan Lok Chair of Chinese International Affairs, University of California, San Diego

“The Government-Guided Market Economy: Is China Creating a New Economic Model?”

For more than a decade, the Chinese government has tried to steer its economy toward a high-tech future. Now, with increased international tensions and growing government ambitions, the Chinese experiment is entering new territory. China seeks to build technological self-reliance and upgrade its massive industrial base while also rebuilding its cities into decentralized clusters. To achieve these goals—while also caring for its aging population—China is experimenting with new planning instruments alongside old-fashioned political controls. Can China's bold effort succeed? What will be the implications for the US and the global economy?

Barry Naughton is the So Kwan Lok Chair of Chinese International Affairs at the University of California, San Diego. Naughton’s work on the Chinese economy focuses on market transition, industry and technology, and political economy. His first book, Growing Out of the Plan, won the Ohira Prize in 1996, and a new edition of his popular survey and textbook, The Chinese Economy: Adaptation and Growth, was published in 2018. His most recent book is The Rise of Chinese Industrial Policy, 1978–2020. Naughton did his dissertation research in China in 19 [...]","Vollum College Center, Vollum lecture hall",2023-09-12,"7pm","Tuesday, September 12, 2023"
"https://events.reed.edu/event/peer_career_drop-in_advising","Wednesday, September 13, 2023 6pm to 8pm","Peer Career Drop-in Advising","
    Do you have questions about job searching, fellowships, or career development? Do you need feedback on a resume, cover letter, or LinkedIn page? Join our Peer Career Advisors (PCA), a group of current Reedies who are experts in supporting you with your career exploration, for drop-in advising. No need to make an appointment; stop by Aspen Multi-Purpose room to chat with a PCA between Sunday and Thursday from 6-8pm.

  ","Aspen Multipurpose Room",2023-09-13,"6pm to 8pm","Wednesday, September 13, 2023"
"https://events.reed.edu/event/riso_drop-in_demos_at_the_vrc","Wednesday, September 13, 2023 10am to 4pm","Riso Drop-in Demos at the VRC","
    Check out the new Risograph in the Visual Resources Center (VRC)! Starting Mon, Sept. 11, students are invited to drop in for a Risograph demo on Mondays and Wednesdays between 10 a.m. and 4 p.m. Demos include a brief overview of how to use the Risograph, a printing demo, how to reserve appointments for printing, and time for questions. Drop-in Risograph demos are available through Wednesday, September 27 and the VRC will begin accepting appointments starting Monday, October 2.
Questions? Email Chloe Van Stralendorff or visit the VRC website.

  ","Library, Visual Resources Center",2023-09-13,"10am to 4pm","Wednesday, September 13, 2023"
"https://events.reed.edu/event/biology_majors_meeting_2023","Wednesday, September 13, 2023 12pm to 1pm","Biology Majors Meeting","
    A meeting for anyone who thinks that they would like be a Biology major (or Biochem/Molecular Biology, Neuroscience, Environemental Studies-Bio major, or other related major).

Learn about all the important information from which classes to take, to how to study abroad, to how to get involved in research.

  ","Biology, Biology 19",2023-09-13,"12pm to 1pm","Wednesday, September 13, 2023"
"https://events.reed.edu/event/the_academic_study_of_religion_what_is_it_for","Wednesday, September 13, 2023 4:45pm","The Academic Study of Religion: What Is It For?","
    This talk addresses the core question, ""to what does the term 'religion' refer?"" and argues that we must work anew at thinking through the category.

John Nemec is Professor of Indian Religions and South Asian Studies in the Department of Religious Studies of the University of Virginia. He is the author of several books that engage Hindu traditions in their premodernity, in particular the traditions of the Kashmir Valley associated with the god Śiva.  Nemec serves as Editor of the Religion in Translation Series of the American Academy of Religion, and was a Trustee of the American Institute of Indian Studies from 2020-2023. He holds a Ph.D. degree in South Asia Studies from the University of Pennsylvania (2005), an M.Phil. in Classical Indian Religions from the University of Oxford (2000), an M.A. in Religious Studies from the University of California at Santa Barbara (1997), and a B.A. in Religion from the University of Rochester (1994). A Fulbright Scholar in India in the 2002-2003 academic year and Directeur d'études invité (DEI) at the École Pratique des Hautes Études (Paris) in the spring of 2016, and he will be the Shivdasani Fellow at the Oxford Centre for Hindu Studies in the Fall of 2023.

Free and open to the public. Sponsored by the religion department.

  ","Psychology, 105",2023-09-13,"4:45pm","Wednesday, September 13, 2023"
